load_demand,solar_yield,export_price
91.06,0.0,0.069
133.76,0.0,0.0839
139.21,0.0,0.019
133.53,0.0,0.0794
136.36,0.0,0.0514
138.7,0.0,0.0819
121.19,0.0,0.0805
139.22,0.0,0.0698
128.13,0.0,0.0757
132.1,0.0,0.095
100.71,0.0,0.054
86.59,0.0,0.0549
40.62,0.0,0.1361
61.05,0.0,0.1126
69.13,0.0,0.1063
37.59,0.0,0.0744
45.31,0.0,0.0338
54.9,0.0,0.0567
42.05,0.0,0.0751
47.83,0.0,0.0884
51.41,0.0,0.0655
44.3,0.0,0.0621
50.66,0.0,0.0432
97.59,0.0,0.0617
129.37,0.0,0.0221
161.69,0.0,0.0486
179.32,0.0,0.0418
181.11,0.0,0.0868
172.95,0.0,-0.0166
162.15,0.0,0.0558
162.98,0.0,0.071
151.05,0.0,0.0236
165.26,0.0,0.0933
178.52,0.0,0.0757
124.53,0.0,0.0583
82.35,0.0,0.1096
58.18,0.0,0.0662
59.21,0.0,0.1043
45.71,0.0,0.0868
54.08,0.0,0.0687
43.06,0.0,0.0503
47.26,0.0,0.0528
35.44,0.0,0.0875
52.88,0.0,0.0891
49.18,0.0,0.0729
44.62,0.0,0.0506
49.26,0.0,0.0655
88.28,0.0,0.0541
123.38,0.0,0.0304
173.19,0.0,0.0233
167.62,0.0,0.0403
168.93,0.0,0.0355
158.31,0.0,0.0587
169.0,0.0,0.1005
168.57,0.0,0.0725
163.4,0.0,0.1074
174.25,0.0,0.0755
153.14,0.0,0.0754
126.14,0.0,0.0449
92.48,0.0,0.1008
66.79,0.0,0.0691
39.07,0.0,0.0633
50.71,0.0,0.0575
54.38,0.0,0.0885
50.51,0.0,0.0617
40.14,0.0,0.1125
46.13,0.0,0.0941
30.47,0.0,0.0476
50.03,0.0,-0.0032
38.67,0.0,0.055
53.65,0.0,0.0411
84.77,0.0,0.0691
124.02,0.0,0.0465
171.33,0.0,0.0756
172.08,0.0,0.0612
176.97,0.0,0.0201
167.91,0.0,0.0375
169.15,0.0,0.0496
158.91,0.0,0.062
181.59,0.0,0.0646
162.52,0.0,0.0941
175.8,0.0,0.0929
135.86,0.0,0.073
93.2,0.0,0.1021
48.1,0.0,0.0569
47.1,0.0,0.103
49.49,0.0,0.1052
34.77,0.0,0.0872
49.79,0.0,0.09
61.89,0.0,0.0885
48.19,0.0,0.093
49.74,0.0,0.0802
41.81,0.0,0.087
51.49,0.0,0.0134
43.78,0.0,0.0528
96.8,0.0,0.0464
139.13,0.0,0.0507
180.88,0.0,0.0701
158.45,0.0,0.0528
175.78,0.0,0.0549
175.18,0.0,0.0685
166.68,0.0,0.024
179.54,0.0,0.1058
173.32,0.0,0.0694
180.98,0.0,0.1138
159.86,0.0,0.0596
124.29,0.0,0.0614
90.75,0.0,0.0805
59.38,0.0,0.0877
53.64,0.0,0.0735
42.41,0.0,0.0641
64.21,0.0,0.0903
47.64,0.0,0.1138
42.67,0.0,0.1142
43.8,0.0,0.0602
39.34,0.0,0.0354
32.02,0.0,0.051
49.07,0.0,0.0962
37.56,0.0,0.0759
92.51,0.0,0.0579
137.87,0.0,0.0359
173.01,0.0,0.071
170.35,0.0,0.1068
157.67,0.0,0.0498
176.77,0.0,0.0083
185.57,0.0,0.0367
181.27,0.0,0.0691
159.36,0.0,0.0688
169.38,0.0,0.1115
167.74,0.0,0.0669
126.82,0.0,0.0805
90.22,0.0,0.0707
67.32,0.0,0.107
50.86,0.0,0.0653
46.45,0.0,0.079
52.38,0.0,0.0436
39.49,0.0,0.065
44.27,0.0,0.1149
57.89,0.0,0.1126
51.51,0.0,0.0799
66.81,0.0,0.0692
52.14,0.0,0.0383
40.03,0.0,0.0559
65.32,0.0,0.053
114.01,0.0,0.0486
125.67,0.0,0.0691
124.95,0.0,0.0273
129.88,0.0,0.1181
141.97,0.0,0.0988
131.06,0.0,0.0427
127.27,0.0,0.0709
143.7,0.0,0.0584
142.34,0.0,0.0941
147.34,0.0,0.0801
116.81,0.0,0.0385
86.47,0.0,0.0645
43.99,0.0,0.1214
55.27,0.0,0.0821
59.72,0.0,0.0798
64.85,0.0,0.0991
51.37,0.0,0.1024
46.06,0.0,0.0718
42.93,0.0,0.0147
57.84,0.0,0.0436
44.67,0.0,0.0053
50.86,0.0,0.0197
42.96,0.0,0.0535
76.73,0.0,0.0507
109.51,0.0,0.0808
136.15,0.0,0.0487
139.9,0.0,0.0296
123.01,0.0,0.0848
133.07,0.0,0.1027
130.24,0.0,0.0866
126.14,0.0,0.0672
128.0,0.0,0.0664
126.85,0.0,0.0491
136.8,0.0,0.0633
109.2,0.0,0.075
85.0,0.0,0.0551
52.62,0.0,0.0805
51.27,0.0,0.0812
50.63,0.0,0.1181
55.41,0.0,0.0425
33.15,0.0,0.0839
49.53,0.0,0.0407
52.54,0.0,0.0206
64.32,0.0,0.052
41.11,0.0,0.06
40.83,0.0,0.0872
31.83,0.0,0.0455
78.87,0.0,0.0368
128.79,0.0,0.032
164.21,0.0,0.0373
164.04,0.0,-0.0358
170.18,0.0,0.0349
174.66,0.0,0.0796
170.1,0.0,0.003
170.21,0.0,0.0592
173.23,0.0,0.0675
155.34,0.0,0.0975
171.03,0.0,0.0866
129.4,0.0,0.0974
89.94,0.0,0.0702
45.33,0.0,0.0456
48.36,0.0,0.0756
53.22,0.0,0.0833
62.87,0.0,0.1126
36.47,0.0,0.0445
54.57,0.0,0.1276
59.74,0.0,0.0745
39.84,0.0,0.046
48.56,0.0,0.0399
52.21,0.0,0.0521
66.07,0.0,0.0512
107.39,0.0,0.0512
119.83,0.0,0.0662
167.58,0.0,0.0344
171.6,0.0,0.0556
174.45,0.0,0.0477
171.61,0.0,0.1014
162.42,0.0,0.0198
162.06,0.0,0.1238
157.67,0.0,0.0533
153.84,0.0,0.0531
157.49,0.0,0.077
139.29,0.0,0.0929
95.68,0.0,0.0805
54.43,0.0,0.1052
48.22,0.0,0.0783
49.67,0.0,0.0714
47.85,0.0,0.0612
37.3,0.0,0.1124
55.18,0.0,0.0857
56.82,0.0,0.042
40.8,0.0,0.0544
40.79,0.0,0.0278
52.81,0.0,0.1249
52.74,0.0,0.0581
95.86,0.0,0.0018
141.31,0.0,0.0169
161.54,0.0,0.0203
169.34,0.0,0.0609
162.0,0.0,0.0143
162.57,0.0,0.0267
166.56,0.0,0.0594
181.52,0.0,0.0688
178.84,0.0,0.0622
169.4,0.0,0.0705
152.75,0.0,0.0491
133.14,0.0,0.0994
92.96,0.0,0.0402
42.53,0.0,0.0868
56.65,0.0,0.1347
42.38,0.0,0.079
56.62,0.0,0.05
51.93,0.0,0.0786
38.32,0.0,0.069
47.11,0.0,0.0762
51.16,0.0,0.0706
52.4,0.0,0.0856
58.27,0.0,0.0448
59.26,0.0,0.0333
88.09,0.0,0.032
134.47,0.0,0.0351
182.86,0.0,0.0594
161.85,0.0,0.0196
165.14,0.0,0.0338
156.76,0.0,0.0628
164.95,0.0,0.0965
171.65,0.0,0.0494
153.07,0.0,0.0854
173.5,0.0,0.0763
166.22,0.0,0.0983
129.5,0.0,0.0903
80.65,0.0,0.0915
49.18,0.0,0.1554
63.43,0.0,0.1641
46.8,0.0,0.0823
32.3,0.0,0.0627
59.71,0.0,0.0882
54.34,0.0,0.0925
50.75,0.0,0.1052
54.54,0.0,0.0109
50.66,0.0,0.0519
63.15,0.0,0.0454
56.02,0.0,0.0347
86.35,0.0,0.0155
141.94,0.0,0.0466
184.56,0.0,0.0705
177.28,0.0,0.0238
173.26,0.0,0.0602
163.17,0.0,0.0727
175.49,0.0,0.1081
173.1,0.0,0.0881
169.79,0.0,0.0752
175.59,0.0,0.09
170.7,0.0,0.1054
134.39,0.0,0.0925
98.29,0.0,0.1112
39.35,0.0,0.0839
41.8,0.0,0.1215
42.7,0.0,0.0768
65.52,0.0,0.0692
55.07,0.0,0.0711
55.81,0.0,0.0538
59.04,0.0,0.0917
41.63,0.0,0.0284
33.69,0.0,0.052
49.5,0.0,0.0668
57.18,0.0,0.0558
76.42,0.0,0.0525
95.04,0.0,0.0493
126.76,0.0,0.0576
124.57,0.0,0.0305
129.1,0.0,0.0467
124.72,0.0,0.0564
135.17,0.0,0.0791
129.62,0.0,0.0964
139.07,0.0,0.0747
126.19,0.0,0.1012
136.04,0.0,0.0892
105.7,0.0,0.0884
81.17,0.0,0.1118
54.29,0.0,0.0567
55.15,0.0,0.1032
56.65,0.0,0.073
54.34,0.0,0.113
52.38,0.0,0.0671
44.67,0.0,0.0709
56.81,0.0,0.0344
44.42,0.0,0.0775
47.66,0.0,0.0531
43.11,0.0,0.0459
42.94,0.0,0.0569
75.46,0.0,0.0124
104.14,0.0,0.0362
127.49,0.0,0.0495
134.18,0.0,0.0928
135.25,0.0,0.0639
129.64,0.0,0.0734
152.32,0.0,0.0699
136.66,0.0,0.1587
134.95,0.0,0.1011
128.59,0.0,0.0327
135.1,0.0,0.0932
107.93,0.0,0.1181
77.97,0.0,0.0565
61.35,0.0,0.0961
36.39,0.0,0.0794
46.96,0.0,0.0695
55.71,0.0,0.121
42.83,0.0,0.0676
37.63,0.0,0.063
45.85,0.0,0.0516
58.35,0.0,0.0418
43.02,0.0,0.0505
47.15,0.0,0.0451
53.37,0.0,0.0271
85.37,0.0,0.0541
126.48,0.0,-0.0091
164.78,0.0,0.0574
165.46,0.0,0.0812
160.7,0.0,0.0467
167.94,0.0,0.073
178.51,0.0,0.0627
182.66,0.0,0.1329
180.0,0.0,0.1037
171.1,0.0,0.0625
183.27,0.0,0.1206
148.42,0.0,0.1517
91.45,0.0,0.0881
42.08,0.0,0.1063
60.5,0.0,0.1188
40.37,0.0,0.0635
42.91,0.0,0.0424
33.34,0.0,0.0888
55.82,0.0,0.0594
31.48,0.0,0.0693
57.94,0.0,0.0952
64.48,0.0,0.0789
63.82,0.0,0.0746
39.87,0.0,0.0543
75.09,0.0,0.0394
124.86,0.0,0.0371
177.03,0.0,0.0991
179.63,0.0,0.1139
175.32,0.0,0.0876
174.22,0.0,0.0578
188.89,0.0,0.0418
166.18,0.0,0.1428
163.78,0.0,0.0913
160.49,0.0,0.0956
173.46,0.0,0.074
128.56,0.0,0.1093
96.6,0.0,0.0889
46.4,0.0,0.0684
55.03,0.0,0.0856
46.93,0.0,0.1022
48.7,0.0,0.1273
49.46,0.0,0.0461
36.4,0.0,0.0496
48.88,0.0,0.0648
54.5,0.0,0.0469
42.1,0.0,0.0655
65.28,0.0,0.049
50.04,0.0,0.0612
84.99,0.0,0.0603
124.74,0.0,0.0216
180.96,0.0,0.0509
163.4,0.0,0.0381
172.38,0.0,0.0897
177.06,0.0,0.0484
174.43,0.0,0.0579
165.5,0.0,0.0527
176.71,0.0,0.0799
171.25,0.0,0.0816
156.24,0.0,0.1266
139.79,0.0,0.092
85.09,0.0,0.1284
48.6,0.0,0.1339
52.48,0.0,0.0859
45.74,0.0,0.0884
56.06,0.0,0.0752
41.17,0.0,0.0554
45.4,0.0,0.1402
59.81,0.0,0.0618
50.2,0.0,0.0483
41.55,0.0,0.0395
50.63,0.0,0.0463
53.21,0.0,0.0511
77.31,0.0,0.0878
143.23,0.0,0.1014
184.32,0.0,0.0047
170.96,0.0,0.0984
168.4,0.0,0.1039
170.18,0.0,0.0506
177.14,0.0,0.0481
173.62,0.0,0.0891
171.91,0.0,0.0653
181.06,0.0,0.1235
179.05,0.0,0.1025
122.32,0.0,0.0745
97.1,0.0,0.1027
59.21,0.0,0.0978
52.23,0.0,0.0474
54.79,0.0,0.0687
47.54,0.0,0.0738
40.36,0.0,0.0962
65.1,0.0,0.096
39.28,0.0,0.1069
63.45,0.0,0.0539
49.48,0.0,0.0296
59.98,0.0,0.0414
50.18,0.0,0.0417
97.5,0.0,0.0373
133.59,0.0,0.0561
164.64,0.0,0.0748
171.07,0.0,0.0491
168.86,0.0,0.0751
175.14,0.0,0.0909
171.13,0.0,0.0712
172.29,0.0,0.0483
161.79,0.0,0.0749
159.77,0.0,0.1122
170.57,0.0,0.1066
131.45,0.0,0.0673
81.59,0.0,0.1254
54.57,0.0,0.0884
54.92,0.0,0.0692
51.25,0.0,0.0932
50.13,0.0,0.0527
39.86,0.0,0.1036
39.73,0.0,0.1111
53.16,0.0,0.0523
43.38,0.0,0.0679
43.94,0.0,0.0891
52.23,0.0,0.0299
66.3,0.0,0.0295
74.82,0.0,0.0521
122.41,0.0,0.0503
133.39,0.0,0.0592
138.51,0.0,0.0574
141.68,0.0,0.0299
142.26,0.0,0.0269
136.71,0.0,0.0392
132.16,0.0,0.0899
140.62,0.0,0.1063
137.39,0.0,0.0851
130.51,0.0,0.1092
117.27,0.0,0.0794
81.66,0.0,0.0875
44.01,0.0,0.1204
43.07,0.0,0.1083
65.67,0.0,0.099
46.06,0.0,0.0878
56.02,0.0,0.059
53.01,0.0,0.0852
55.75,0.0,0.0857
65.29,0.0,0.128
57.98,0.0,0.066
56.69,0.0,0.0545
48.43,0.0,0.0677
72.68,0.0,0.0948
125.36,0.0,0.0667
133.67,0.0,0.0541
133.15,0.0,0.041
136.31,0.0,0.043
135.53,0.0,0.0875
146.74,0.0,0.0656
138.32,0.0,0.1281
123.52,0.0,0.0852
128.72,0.0,0.1001
134.09,0.0,0.0782
114.21,0.0,0.0747
65.84,0.0,0.1163
53.95,0.0,0.1278
55.85,0.0,0.0724
57.06,0.0,0.0769
49.36,0.0,0.0756
58.39,0.0,0.1055
43.48,0.0,0.0928
57.56,0.0,0.0761
49.51,0.0,0.0539
50.34,0.0,0.1087
50.25,0.0,0.0888
55.2,0.0,0.0113
81.16,0.0,0.0806
137.08,0.0,0.0513
176.97,0.0,0.0442
167.59,0.0,0.0804
170.02,0.0,0.0732
163.12,0.0,0.0708
160.72,0.0,0.0509
171.58,0.0,0.1039
171.63,0.0,0.0528
167.3,0.0,0.1079
160.0,0.0,0.0949
133.66,0.0,0.095
87.11,0.0,0.0841
44.01,0.0,0.1027
60.21,0.0,0.0635
42.2,0.0,0.1267
54.5,0.0,0.0826
38.0,0.0,0.0719
38.51,0.0,0.0794
53.86,0.0,0.0698
47.31,0.0,0.1051
40.65,0.0,0.0258
57.6,0.0,0.0632
52.97,0.0,0.1014
72.98,0.0,0.0615
137.68,0.0,0.0639
161.49,0.0,0.0591
156.34,0.0,0.0456
163.44,0.0,0.0785
169.67,0.0,0.0644
170.62,0.0,0.0775
156.92,0.0,0.0929
158.7,0.0,0.0954
163.91,0.0,0.0916
164.42,0.0,0.1158
136.09,0.0,0.1218
86.69,0.0,0.1181
55.94,0.0,0.1255
58.77,0.0,0.1324
54.45,0.0,0.0663
25.41,0.0,0.1622
47.57,0.0,0.0937
48.67,0.0,0.0788
49.56,0.0,0.084
33.34,0.0,0.0377
43.89,0.0,0.0756
39.1,0.0,0.0458
42.59,0.0,0.0642
87.93,0.0,0.0641
124.07,0.0,0.0449
163.18,0.0,0.0153
168.42,0.0,0.0693
166.06,0.0,0.0656
171.6,0.0,0.0746
166.64,0.0,0.064
157.46,0.0,0.0633
161.75,0.0,0.0796
167.38,0.0,0.0932
166.42,0.0,0.1107
118.69,0.0,0.0768
95.41,0.0,0.1188
52.5,0.0,0.1161
45.19,0.0,0.1121
48.69,0.0,0.1428
41.43,0.0,0.0499
56.82,0.0,0.1391
66.55,0.0,0.0692
44.84,0.0,0.0864
59.79,0.0,0.0763
43.11,0.0,0.0369
45.74,0.0,0.0794
61.47,0.0,0.0846
89.04,0.0,0.0716
135.5,0.0,0.0234
167.84,0.0,0.03
155.58,0.0,0.0456
188.7,0.0,0.098
168.27,0.0,0.0727
171.25,0.0,0.0252
164.14,0.0,0.132
176.24,0.0,0.123
175.65,0.0,0.0632
157.54,0.0,0.0843
131.37,0.0,0.0905
97.02,0.0,0.1127
59.6,0.0,0.1053
55.17,0.0,0.0826
55.87,0.0,0.1304
45.68,0.0,0.1381
40.17,0.0,0.0897
47.51,0.0,0.0718
39.99,0.0,0.1208
44.09,0.0,0.0209
43.97,0.0,0.0486
42.47,0.0,0.0913
54.26,0.0,0.0984
81.9,0.0,0.0536
144.68,0.0,0.1179
177.91,0.0,0.0005
179.52,0.0,0.091
164.49,0.0,0.069
171.6,0.0,0.0588
161.66,0.0,0.0977
171.74,0.0,0.0712
155.86,0.0,0.0589
178.5,0.0,0.0938
164.84,0.0,0.0937
132.42,0.0,0.0787
93.91,0.0,0.0859
45.57,0.0,0.0906
43.61,0.0,0.0596
49.04,0.0,0.056
56.42,0.0,0.1184
48.82,0.0,0.0559
54.82,0.0,0.0863
56.35,0.0,0.0348
48.46,0.0,0.114
49.1,0.0,0.0648
51.11,0.0,0.0953
59.14,0.0,0.1171
75.25,0.0,0.03
115.1,0.0,0.0445
136.04,0.0,0.084
128.11,0.0,0.0484
133.66,0.0,0.0746
125.03,0.0,0.0741
123.23,0.0,0.0178
138.85,0.0,0.1051
140.38,0.0,0.0833
133.74,0.0,0.0617
134.38,0.0,0.1343
101.39,0.0,0.0813
79.36,0.0,0.0819
65.85,0.0,0.0565
58.08,0.0,0.1157
49.39,0.0,0.0999
48.69,0.0,0.0522
46.99,0.0,0.0982
38.71,0.0,0.108
46.14,0.0,0.0937
55.39,0.0,0.11
42.54,0.0,0.057
47.76,0.0,0.1121
41.05,0.0,0.0649
84.28,0.0,0.0828
95.81,0.0,0.094
138.74,0.0,0.129
142.23,0.0,0.0377
131.41,0.0,0.0495
128.5,0.0,0.0768
137.8,0.0,0.0676
146.82,0.0,0.0621
144.73,0.0,0.0492
133.41,0.0,0.0952
126.93,0.0,0.1161
104.14,0.0,0.1082
64.48,0.0,0.0607
45.55,0.0,0.0619
53.6,0.0,0.1029
47.06,0.0,0.0934
45.2,0.0,0.0883
49.56,0.0,0.0857
47.85,0.0,0.0754
56.04,0.0,0.0864
39.39,0.0,0.105
54.21,0.0,0.0493
49.63,0.0,0.0798
53.47,0.0,0.0674
78.89,0.0,0.0188
137.06,0.0,0.0463
174.34,0.0,0.0636
183.39,0.0,0.1195
163.34,0.0,0.0504
165.32,0.0,0.0574
155.73,0.0,0.0878
163.41,0.0,0.0798
181.47,0.0,0.0563
172.36,0.0,0.0493
164.19,0.0,0.0503
131.06,0.0,0.1212
89.51,0.0,0.0762
34.73,0.0,0.1619
36.17,0.0,0.0888
58.85,0.0,0.1193
55.89,0.0,0.0678
38.12,0.0,0.098
48.99,0.0,0.1237
44.27,0.0,0.0745
58.71,0.0,0.0509
53.58,0.0,0.0639
41.16,0.0,0.0637
50.96,0.0,0.0413
89.67,0.0,0.1052
129.69,0.0,0.0637
165.92,0.0,0.0959
170.2,0.0,0.0928
163.19,0.0,0.1116
160.5,0.0,0.0418
160.03,0.0,0.0942
161.61,0.0,0.0706
173.38,0.0,0.0849
173.6,0.0,0.0662
181.68,0.0,0.1555
128.17,0.0,0.0822
95.61,0.0,0.1189
50.38,0.0,0.0711
52.4,0.0,0.0962
56.47,0.0,0.1271
54.66,0.0,0.1061
50.87,0.0,0.0702
45.09,0.0,0.0711
52.21,0.0,0.0879
60.91,0.0,0.0782
51.4,0.0,0.041
46.84,0.0,0.0601
56.57,0.0,0.0628
78.92,0.0,0.0787
127.12,0.0,0.0891
162.15,0.0,0.0812
169.03,0.0,0.075
179.97,0.0,0.0787
175.13,0.0,0.0857
155.06,0.0,0.1025
165.05,0.0,0.1261
158.01,0.0,0.0646
178.47,0.0,0.0826
165.34,0.0,0.1232
130.61,0.0,0.0762
90.99,0.0,0.0707
51.65,0.0,0.0877
26.86,0.0,0.1049
52.89,0.0,0.0891
45.61,0.0,0.1072
56.77,0.0,0.0872
51.62,0.0,0.0809
55.05,0.0,0.0426
44.17,0.0,0.0941
40.97,0.0,0.0896
57.12,0.0,0.0655
54.51,0.0,0.0707
91.78,0.0,0.0687
131.77,0.0,0.0906
173.37,0.0,0.0706
159.66,0.0,0.0336
178.6,0.0,0.1179
168.77,0.0,0.1066
169.0,0.0,0.0804
166.66,0.0,0.0882
150.24,0.0,0.0967
174.6,0.0,0.0751
162.01,0.0,0.1264
130.86,0.0,0.1269
83.44,0.0,0.1015
47.25,0.0,0.1211
46.81,0.0,0.1297
43.25,0.0,0.1073
48.19,0.0,0.0727
46.15,0.0,0.112
41.68,0.0,0.0915
59.38,0.0,0.0575
43.59,0.0,0.1056
54.5,0.0,0.0808
55.35,0.0,0.065
57.39,0.0,0.1194
85.64,0.0,0.0519
128.41,0.0,0.0413
168.66,0.0,0.0695
174.22,0.0,0.0637
168.06,0.0,0.0568
173.67,0.0,0.1101
167.95,0.0,0.0516
178.94,0.0,0.0926
169.91,0.0,0.0922
168.94,0.0,0.0946
172.72,0.0,0.1279
143.08,0.0,0.1536
85.16,0.0,0.1042
58.32,0.0,0.1271
43.46,0.0,0.1052
50.35,0.0,0.1042
43.64,0.0,0.1103
47.03,0.0,0.0996
44.57,0.0,0.0678
55.59,0.0,0.1187
46.02,0.0,0.0915
54.24,0.0,0.0742
45.79,0.0,0.0556
49.96,0.0,0.0754
89.66,0.0,0.06
100.04,0.0,0.07
128.19,0.0,0.0614
132.03,0.0,0.0473
133.86,0.0,0.1115
138.97,0.0,0.0518
134.34,0.0,0.0607
135.96,0.0,0.1024
124.77,0.0,0.0983
136.41,0.0,0.1119
136.63,0.0,0.1121
111.37,0.0,0.0839
75.37,0.0,0.1215
49.95,0.0,0.0893
55.65,0.0,0.1311
41.53,0.0,0.0778
35.64,0.0,0.0797
41.13,0.0,0.0768
44.89,0.0,0.0989
58.58,0.0,0.0846
66.23,0.0,0.0836
42.72,0.0,0.073
49.33,0.0,0.0705
45.79,0.0,0.0566
81.85,0.0,0.0289
108.24,0.0,0.0311
126.99,0.0,0.0466
129.03,0.0,0.0606
132.86,0.0,0.1084
143.84,0.0,0.0505
128.77,0.0,0.0535
121.59,0.0,0.0404
144.42,0.0,0.1037
137.98,0.0,0.0906
124.7,0.0,0.0677
108.45,0.0,0.1026
84.49,0.0,0.0907
50.75,0.0,0.1383
60.9,0.0,0.0885
54.44,0.0,0.1457
52.44,0.0,0.1044
51.63,0.0,0.0866
51.09,0.0,0.0852
57.02,0.0,0.0938
48.8,0.0,0.0746
57.6,0.0,0.0533
52.5,0.0,0.0881
50.84,0.0,0.0939
87.54,0.0,0.0928
127.61,0.0,0.0625
172.55,0.0,0.0944
178.1,0.0,0.077
174.04,0.0,0.065
164.28,0.0,0.0624
157.21,0.0,0.1043
175.92,0.0,0.0444
191.46,0.0,0.1264
167.79,0.0,0.0996
166.29,0.0,0.0857
136.56,0.0,0.0859
83.11,0.0,0.0947
61.97,0.0,0.1241
53.3,0.0,0.1136
49.79,0.0,0.0923
43.81,0.0,0.0871
57.06,0.0,0.1048
46.45,0.0,0.1607
55.67,0.0,0.1553
53.19,0.0,0.1081
60.33,0.0,0.0576
51.27,0.0,0.0917
74.93,0.0,0.0511
94.44,0.0,0.0619
131.17,0.0,0.1011
166.89,0.0,0.0616
177.01,0.0,0.0626
167.07,0.0,0.0602
163.81,0.0,0.0566
166.25,0.0,0.0753
168.46,0.0,0.1055
188.0,0.0,0.1091
172.34,0.0,0.1043
164.71,0.0,0.1305
138.71,0.0,0.0612
91.51,0.0,0.1076
60.36,0.0,0.0893
65.29,0.0,0.1559
38.07,0.0,0.0979
31.0,0.0,0.1197
65.93,0.0,0.1224
44.5,0.0,0.0833
36.41,0.0,0.1107
45.8,0.0,0.1084
42.26,0.0,0.0972
43.82,0.0,0.0603
56.85,0.0,0.0344
87.12,0.0,0.1216
117.06,0.0,0.0602
170.26,0.0,0.0933
163.19,0.0,0.0585
168.01,0.0,0.1258
168.46,0.0,0.065
176.76,0.0,0.0848
165.96,0.0,0.1455
175.58,0.0,0.0527
157.24,0.0,0.1276
177.19,0.0,0.101
140.39,0.0,0.1225
88.16,0.0,0.0981
43.45,0.0,0.1484
41.38,0.0,0.0865
49.8,0.0,0.1057
59.73,0.0,0.125
46.59,0.0,0.0775
